                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 3.2975,                 3.2805,                 3.8854,                0.00394,                0.91667,                0.04505,                0.01306,                 2.9454,                 3.1397,                 4.1324,             0.00043732,             0.00043732,             0.00043732
                     71,                 3.2751,                 3.3831,                 3.9063,                0.00394,                0.91667,                0.04505,                0.01306,                 2.9454,                 3.1397,                 4.1324,              0.0004298,              0.0004298,              0.0004298
                     72,                  2.965,                 3.1575,                 3.7938,                0.00392,                0.91667,                0.04269,                 0.0147,                 2.9878,                 3.1497,                  4.155,             0.00042188,             0.00042188,             0.00042188
                     73,                 3.2735,                 3.4745,                 3.9259,                0.00392,                0.91667,                0.04269,                 0.0147,                 2.9878,                 3.1497,                  4.155,             0.00041357,             0.00041357,             0.00041357
                     74,                 3.5854,                 3.4116,                 3.9093,                0.00392,                0.91667,                0.04269,                 0.0147,                 2.9878,                 3.1497,                  4.155,             0.00040486,             0.00040486,             0.00040486
                     75,                 3.0511,                 3.4195,                 3.8842,                0.00394,                0.91667,                0.03763,                0.01311,                 3.0137,                 3.1529,                  4.171,             0.00039575,             0.00039575,             0.00039575
                     76,                 3.3123,                 3.3288,                 3.8119,                0.00394,                0.91667,                0.03763,                0.01311,                 3.0137,                 3.1529,                  4.171,             0.00038625,             0.00038625,             0.00038625
                     77,                 2.8971,                 3.1743,                 3.8551,                0.00394,                0.91667,                0.03763,                0.01311,                 3.0137,                 3.1529,                  4.171,             0.00037635,             0.00037635,             0.00037635
                     78,                 3.4171,                  3.428,                 3.8745,                0.00388,                0.91667,                0.04856,                0.01496,                 3.0903,                 3.2206,                 4.2219,             0.00036606,             0.00036606,             0.00036606
                     79,                 2.8972,                 3.1913,                  3.817,                0.00388,                0.91667,                0.04856,                0.01496,                 3.0903,                 3.2206,                 4.2219,             0.00035537,             0.00035537,             0.00035537
                     80,                 3.1994,                 3.3497,                 3.8004,                0.00388,                0.91667,                0.04856,                0.01496,                 3.0903,                 3.2206,                 4.2219,             0.00034428,             0.00034428,             0.00034428
                     81,                 3.1498,                 3.4205,                 3.7687,                0.00389,                0.91667,                0.03534,                0.01071,                 3.1733,                  3.284,                 4.2707,              0.0003328,              0.0003328,              0.0003328
                     82,                 2.9741,                 3.1989,                 3.7729,                0.00389,                0.91667,                0.03534,                0.01071,                 3.1733,                  3.284,                 4.2707,             0.00032092,             0.00032092,             0.00032092
                     83,                 3.1103,                 3.2863,                 3.7719,                0.00389,                0.91667,                0.03534,                0.01071,                 3.1733,                  3.284,                 4.2707,             0.00030865,             0.00030865,             0.00030865
                     84,                 2.8172,                 3.2621,                 3.7021,                0.00388,                0.91667,                0.03503,                0.01031,                 3.2303,                 3.2813,                 4.2985,             0.00029598,             0.00029598,             0.00029598
                     85,                 2.9968,                 3.1766,                 3.7691,                0.00388,                0.91667,                0.03503,                0.01031,                 3.2303,                 3.2813,                 4.2985,             0.00028291,             0.00028291,             0.00028291
                     86,                 3.2702,                 3.5267,                 3.8836,                0.00388,                0.91667,                0.03503,                0.01031,                 3.2303,                 3.2813,                 4.2985,             0.00026945,             0.00026945,             0.00026945
                     87,                 3.0428,                 3.6035,                 3.8584,                0.00388,                0.91667,                0.03503,                0.01031,                 3.2303,                 3.2813,                 4.2985,             0.00025559,             0.00025559,             0.00025559
                     88,                 2.9228,                 3.1966,                 3.8152,                0.00388,                0.91667,                0.03909,                0.01197,                 3.2521,                 2.9917,                 4.3138,             0.00024134,             0.00024134,             0.00024134
                     89,                 2.8581,                 3.3392,                 3.8581,                0.00388,                0.91667,                0.03909,                0.01197,                 3.2521,                 2.9917,                 4.3138,             0.00022669,             0.00022669,             0.00022669
                     90,                 2.9884,                 3.4033,                 3.8438,                0.00388,                0.91667,                0.03909,                0.01197,                 3.2521,                 2.9917,                 4.3138,             0.00021164,             0.00021164,             0.00021164
                     91,                 2.7439,                 3.6451,                  3.662,                0.00388,                0.91667,                0.03909,                0.01197,                 3.2521,                 2.9917,                 4.3138,              0.0001962,              0.0001962,              0.0001962
                     92,                 2.8521,                  3.605,                 3.7848,                0.00386,                0.91667,                 0.0507,                0.01455,                 3.2344,                 2.9707,                 4.3064,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.6398,                  3.686,                   3.76,                0.00386,                0.91667,                 0.0507,                0.01455,                 3.2344,                 2.9707,                 4.3064,             0.00016413,             0.00016413,             0.00016413
                     94,                 2.8103,                 3.5983,                 3.8341,                0.00386,                0.91667,                 0.0507,                0.01455,                 3.2344,                 2.9707,                 4.3064,              0.0001475,              0.0001475,              0.0001475
                     95,                 3.0173,                 3.6937,                 3.7548,                0.00386,                0.91667,                 0.0507,                0.01455,                 3.2344,                 2.9707,                 4.3064,             0.00013047,             0.00013047,             0.00013047
                     96,                 2.6383,                 3.8043,                 3.7524,                0.00388,                0.91667,                0.05075,                0.01512,                 3.2004,                 2.9679,                  4.294,             0.00011305,             0.00011305,             0.00011305
                     97,                  2.814,                 3.5937,                 3.8604,                0.00388,                0.91667,                0.05075,                0.01512,                 3.2004,                 2.9679,                  4.294,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 2.5114,                 3.6403,                 3.6662,                0.00388,                0.91667,                0.05075,                0.01512,                 3.2004,                 2.9679,                  4.294,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 2.8141,                 3.6665,                 3.7694,                0.00388,                0.91667,                0.05075,                0.01512,                 3.2004,                 2.9679,                  4.294,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 2.6023,                 3.6074,                 3.7597,                0.00388,                0.91667,                 0.0472,                0.01471,                 3.1814,                 2.9673,                 4.2822,             3.9402e-05,             3.9402e-05,             3.9402e-05
